name,email,year,month,day
xxx,edvf@gmail.com,2000,11,21
yyy,qwerty@gmail.com,2001,5,28
zzz,qwerty@gmail.com,2020,3,12
aaa,qwerty@gmail.com,2020,6,29    
bbb,tryr@gmail.com,1994,1,9
ccc,wetg@sametokan.com,2001,1,3
ddd,mnbc@gmail.com,2003,7,31
fff,bmn@gmail.com,2002,8,25
hhh,zxcv@gmail.com,2000,5,8
jjj,zcv@gmail.com,2000,10,1
kkk,ewgg@gmail.com,2000,2,28
iii,asfgsad@gmail.com,2000,7,3
ppp,dgds@hotmail.com,1997,9,22
ooo,fgsd@yandex.com,2001,10,5
uuu,yuq@outlook.com,2001,1,5
ttt,rty@gmail.com,1999,10,28
qqq,qwe@gmail.com,2000,11,30
www,dsa@icloud.com,2000,2,10
eee,asd@gmail.com,2000,9,29
